,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.3240522113744166,787.5349178314209
1,0.1,0.0025,0.75,0.3267549140771193,798.0473082065582
2,0.1,0.0025,0.75,0.3019916825253607,798.3789360523224
3,0.1,0.0025,1.0,0.32920949043553954,787.968297958374
4,0.1,0.0025,1.0,0.3481284093544585,794.2622656822205
5,0.1,0.0025,1.0,0.37337725053135895,791.3312029838562
6,0.1,0.0025,1.25,0.429723852217093,820.5009081363678
7,0.1,0.0025,1.25,0.3490637281221506,797.1077570915222
8,0.1,0.0025,1.25,0.38544410167779164,797.525796175003
9,0.1,0.003,0.75,0.3757684260021159,542.7928049564362
10,0.1,0.003,0.75,0.367289291171976,538.0396101474762
11,0.1,0.003,0.75,0.3797684260021159,538.3247518539429
12,0.1,0.003,1.0,0.4395878688139179,1637.8323090076447
13,0.1,0.003,1.0,0.4399941224873633,592.506263256073
14,0.1,0.003,1.0,0.4255878688139179,620.5570740699768
15,0.1,0.003,1.25,0.5299941224873633,2016.1495559215546
16,0.1,0.003,1.25,0.47378441283648753,555.464821100235
17,0.1,0.003,1.25,0.4693236158457741,5895.61154294014
18,0.1,0.0035,0.75,0.3952989179189893,419.92878890037537
19,0.1,0.0035,0.75,0.46691579071105527,408.6295790672302
20,0.1,0.0035,0.75,0.43974466847735305,413.85660219192505
21,0.1,0.0035,1.0,0.49969313197181264,413.0322608947754
22,0.1,0.0035,1.0,0.487404181076884,411.2571699619293
23,0.1,0.0035,1.0,0.5031936547610946,414.60020089149475
24,0.1,0.0035,1.25,0.5650315838968527,414.77584505081177
25,0.1,0.0035,1.25,0.5795094442347788,415.1871519088745
26,0.1,0.0035,1.25,0.5808210575810633,417.05647897720337
