,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.1792598241950234,11.93440294265747
1,0.1,0.0025,0.75,0.17300479095860122,11.32243013381958
2,0.1,0.0025,0.75,0.15981537975057897,11.860586881637573
3,0.1,0.0025,1.0,0.1404357702159799,11.989878177642822
4,0.1,0.0025,1.0,0.1376579924382021,11.448469877243042
5,0.1,0.0025,1.0,0.139046881327091,12.27936315536499
6,0.1,0.0025,1.25,0.14182465910486877,12.052824020385742
7,0.1,0.0025,1.25,0.17161590206971233,12.734931945800781
8,0.1,0.0025,1.25,0.1556487130839123,12.255095958709717
9,0.1,0.003,0.75,0.19909315752835674,7.531161785125732
10,0.1,0.003,0.75,0.17100479095860122,7.096947908401489
11,0.1,0.003,0.75,0.1530047909586012,7.05794882774353
12,0.1,0.003,1.0,0.14182465910486877,7.001277208328247
13,0.1,0.003,1.0,0.1470047909586012,6.598970890045166
14,0.1,0.003,1.0,0.18700184267638506,7.274095058441162
15,0.1,0.003,1.25,0.1650047909586012,7.779531002044678
16,0.1,0.003,1.25,0.13982465910486877,6.340417861938477
17,0.1,0.003,1.25,0.1850481962245608,6.4764440059661865
18,0.1,0.0035,0.75,0.20009315752835674,4.539263010025024
19,0.1,0.0035,0.75,0.20926638730782698,4.653666019439697
20,0.1,0.0035,0.75,0.17166850934305175,4.534168720245361
21,0.1,0.0035,1.0,0.18967145762526788,4.448089838027954
22,0.1,0.0035,1.0,0.18138453243792907,4.555802822113037
23,0.1,0.0035,1.0,0.19082597400233858,4.8628950119018555
24,0.1,0.0035,1.25,0.1924956435490402,4.5403361320495605
25,0.1,0.0035,1.25,0.1994462871208295,4.737349033355713
26,0.1,0.0035,1.25,0.17578256873637899,4.550618886947632
