,epsilon_0,noise,mean tune error,std tune error,runtime
0,0.003,1,0.13979620818148317,0.0006531972647421769,"[11.54710602760315, 11.973358869552612, 11.856521844863892]"
1,0.003,2,0.13838718043214174,0.006444571144854789,"[9.786087989807129, 10.436201810836792, 10.542312860488892]"
2,0.003,3,0.14745348675320422,0.010331266226801887,"[9.985491037368774, 10.806824922561646, 9.78427004814148]"
3,0.005,1,0.13080587897180174,0.001971495942392411,"[2.618568181991577, 2.5917680263519287, 2.7257730960845947]"
4,0.005,2,0.15044607934579682,0.0019826599727461474,"[2.521864175796509, 2.5111780166625977, 2.5262179374694824]"
5,0.005,3,0.16391487593403978,0.0018245223092141886,"[2.490122079849243, 2.499105930328369, 2.5219950675964355]"
6,0.007,1,0.14952015341987088,0.006181927521127586,"[1.0994281768798828, 1.105438232421875, 1.0841269493103027]"
7,0.007,2,0.18118682008653755,0.000332208828582521,"[1.090583086013794, 1.0732290744781494, 1.0578961372375488]"
8,0.007,3,0.1845201534198709,0.0043818363793278,"[1.060755968093872, 1.0521039962768555, 1.0450639724731445]"
9,0.009,1,0.1814217272019983,2.7755575615628914e-17,"[0.5446178913116455, 0.5543320178985596, 0.5603277683258057]"
10,0.009,2,0.1845201534198709,0.0043818363793278,"[0.5466818809509277, 0.5445318222045898, 0.5565102100372314]"
11,0.009,3,0.1907170058556161,2.7755575615628914e-17,"[0.5450282096862793, 0.5429770946502686, 0.547353982925415]"
