,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.23397202303984954,53.673412799835205
1,0.1,0.0025,0.75,0.23397202303984954,45.71458888053894
2,0.1,0.0025,0.75,0.23358839620153832,47.86028599739075
3,0.1,0.0025,1.0,0.2431412604564127,43.93954372406006
4,0.1,0.0025,1.0,0.2393467700685286,47.01428198814392
5,0.1,0.0025,1.0,0.25549817479404874,47.830053091049194
6,0.1,0.0025,1.25,0.25530342261857486,39.52163600921631
7,0.1,0.0025,1.25,0.34649382543469764,40.70932602882385
8,0.1,0.0025,1.25,0.3093574766726289,37.59186506271362
9,0.1,0.003,0.75,0.31270882802398026,22.912270069122314
10,0.1,0.003,0.75,0.290818149759022,22.55265784263611
11,0.1,0.003,0.75,0.312818149759022,23.270565032958984
12,0.1,0.003,1.0,0.300818149759022,21.758366107940674
13,0.1,0.003,1.0,0.338818149759022,21.955724716186523
14,0.1,0.003,1.0,0.3767088280239802,20.46214985847473
15,0.1,0.003,1.25,0.37281814975902194,19.616034746170044
16,0.1,0.003,1.25,0.432818149759022,19.567301273345947
17,0.1,0.003,1.25,0.3787088280239802,19.40471911430359
18,0.1,0.0035,0.75,0.32592632692581336,14.035010814666748
19,0.1,0.0035,0.75,0.3607088280239802,14.67377781867981
20,0.1,0.0035,0.75,0.3194465239152895,14.847386121749878
21,0.1,0.0035,1.0,0.39434737955739235,14.102420806884766
22,0.1,0.0035,1.0,0.38134446554849566,14.166874170303345
23,0.1,0.0035,1.0,0.4497655181800746,15.615431308746338
24,0.1,0.0035,1.25,0.4366076234432325,14.843364715576172
25,0.1,0.0035,1.25,0.43523599759950005,14.053274154663086
26,0.1,0.0035,1.25,0.5181865708116535,13.980547904968262
