,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.3581803856283696,88.30938577651978
1,0.1,0.0025,0.75,0.3225645652705721,82.2741048336029
2,0.1,0.0025,0.75,0.32216950111037335,82.79396724700928
3,0.1,0.0025,1.0,0.40364564635165323,82.47981214523315
4,0.1,0.0025,1.0,0.42121321391922073,82.88739085197449
5,0.1,0.0025,1.0,0.38742943013543696,82.38577795028687
6,0.1,0.0025,1.25,0.4507896517653188,80.42606902122498
7,0.1,0.0025,1.25,0.4573046362455085,86.40625786781311
8,0.1,0.0025,1.25,0.4464938254346977,84.55639386177063
9,0.1,0.003,0.75,0.39006888444810156,50.35233688354492
10,0.1,0.003,0.75,0.4962974021394146,52.86676096916199
11,0.1,0.003,0.75,0.4542974021394146,53.09242582321167
12,0.1,0.003,1.0,0.544818149759022,54.48924684524536
13,0.1,0.003,1.0,0.522818149759022,54.47891306877136
14,0.1,0.003,1.0,0.522818149759022,51.879956007003784
15,0.1,0.003,1.25,0.625978840954508,51.724504709243774
16,0.1,0.003,1.25,0.669978840954508,61.85283613204956
17,0.1,0.003,1.25,0.576818149759022,50.101337909698486
18,0.1,0.0035,0.75,0.5294525251650344,37.33308506011963
19,0.1,0.0035,0.75,0.5260813076537588,37.28184103965759
20,0.1,0.0035,0.75,0.5339760444958641,299.5428240299225
21,0.1,0.0035,1.0,0.6839760444958641,40.28615593910217
22,0.1,0.0035,1.0,0.639978840954508,44.04287314414978
23,0.1,0.0035,1.0,0.6505051567439817,42.81930589675903
24,0.1,0.0035,1.25,0.7392392023906009,41.22362017631531
25,0.1,0.0035,1.25,0.702397097127443,40.59664726257324
26,0.1,0.0035,1.25,0.6787128866011273,44.92284917831421
