,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.17308839386866495,104.26014018058777
1,0.1,0.0025,0.75,0.17586617164644272,105.32758402824402
2,0.1,0.0025,0.75,0.17447728275755384,111.02961683273315
3,0.1,0.0025,1.0,0.1772550605353316,102.54548215866089
4,0.1,0.0025,1.0,0.17447728275755384,92.60233402252197
5,0.1,0.0025,1.0,0.16852299250644937,97.17629480361938
6,0.1,0.0025,1.25,0.18142172720199828,98.00651478767395
7,0.1,0.0025,1.25,0.1772550605353316,94.60635495185852
8,0.1,0.0025,1.25,0.16852299250644937,94.96594786643982
9,0.1,0.003,0.75,0.18142172720199828,67.30732607841492
10,0.1,0.003,0.75,0.17942172720199828,65.83571100234985
11,0.1,0.003,0.75,0.16852299250644937,65.81103420257568
12,0.1,0.003,1.0,0.18142172720199828,66.33892035484314
13,0.1,0.003,1.0,0.16852299250644937,66.28609108924866
14,0.1,0.003,1.0,0.17342172720199828,68.66802597045898
15,0.1,0.003,1.25,0.17942172720199828,66.27392506599426
16,0.1,0.003,1.25,0.16852299250644937,65.92974185943604
17,0.1,0.003,1.25,0.18142172720199828,67.65868186950684
18,0.1,0.0035,0.75,0.1666393677572581,48.41486692428589
19,0.1,0.0035,0.75,0.16852299250644937,47.71724081039429
20,0.1,0.0035,0.75,0.16745833503951518,48.22582292556763
21,0.1,0.0035,1.0,0.1666393677572581,48.99330401420593
22,0.1,0.0035,1.0,0.18142172720199828,46.00711393356323
23,0.1,0.0035,1.0,0.16852299250644937,50.48239707946777
24,0.1,0.0035,1.25,0.17864394942422052,49.26892304420471
25,0.1,0.0035,1.25,0.16852299250644937,56.04737591743469
26,0.1,0.0035,1.25,0.16852299250644937,52.57974910736084
