,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.37332880076502983,181.90073704719543
1,0.1,0.0025,0.75,0.40029244596659663,184.29116415977478
2,0.1,0.0025,0.75,0.3913301923058594,186.0815770626068
3,0.1,0.0025,1.0,0.43413961157584063,183.50800681114197
4,0.1,0.0025,1.0,0.4397370686779409,184.1636941432953
5,0.1,0.0025,1.0,0.4656545166301837,184.74490904808044
6,0.1,0.0025,1.25,0.534621726463739,184.57108306884766
7,0.1,0.0025,1.25,0.5386740331491713,185.06375908851624
8,0.1,0.0025,1.25,0.5360780787840855,185.93758893013
9,0.1,0.003,0.75,0.5928181497590219,123.66831421852112
10,0.1,0.003,0.75,0.475978840954508,126.81077003479004
11,0.1,0.003,0.75,0.5048181497590221,130.2947371006012
12,0.1,0.003,1.0,0.5882974021394146,123.07997512817383
13,0.1,0.003,1.0,0.5868181497590219,123.01431822776794
14,0.1,0.003,1.0,0.5860315034677326,123.6183717250824
15,0.1,0.003,1.25,0.6506740331491712,123.38631820678711
16,0.1,0.003,1.25,0.693978840954508,123.27643322944641
17,0.1,0.003,1.25,0.681483484189491,123.22843599319458
18,0.1,0.0035,0.75,0.5997710863499409,93.4637758731842
19,0.1,0.0035,0.75,0.602397097127443,94.01318717002869
20,0.1,0.0035,0.75,0.6260813076537588,94.01019597053528
21,0.1,0.0035,1.0,0.7426104199018764,94.59821891784668
22,0.1,0.0035,1.0,0.7102974021394146,95.0605800151825
23,0.1,0.0035,1.0,0.6997710863499409,101.20387887954712
24,0.1,0.0035,1.25,0.7510910519510249,100.61266708374023
25,0.1,0.0035,1.25,0.7971339392327061,1466.9545590877533
26,0.1,0.0035,1.25,0.7550286760748115,98.41000866889954
