,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.23084915760947267,58.99435067176819
1,0.1,0.0025,0.75,0.2188908021692787,57.811330795288086
2,0.1,0.0025,0.75,0.22024215352063006,57.89895296096802
3,0.1,0.0025,1.0,0.23165548880254416,55.04761219024658
4,0.1,0.0025,1.0,0.2649272935801677,56.70388603210449
5,0.1,0.0025,1.0,0.2188908021692787,53.20730996131897
6,0.1,0.0025,1.25,0.2542862952290482,52.56505274772644
7,0.1,0.0025,1.25,0.25286218980235675,53.87401819229126
8,0.1,0.0025,1.25,0.2302598178288786,52.694544315338135
9,0.1,0.003,0.75,0.27708945574232985,31.99044704437256
10,0.1,0.003,0.75,0.28370471376513456,32.793959856033325
11,0.1,0.003,0.75,0.29107840601857293,32.651286125183105
12,0.1,0.003,1.0,0.28170471376513456,30.75034213066101
13,0.1,0.003,1.0,0.26499800164570353,30.553394079208374
14,0.1,0.003,1.0,0.27708945574232985,30.59847402572632
15,0.1,0.003,1.25,0.29895333254966494,29.870080947875977
16,0.1,0.003,1.25,0.2890871047372752,30.128745794296265
17,0.1,0.003,1.25,0.30306547549077234,30.102938175201416
18,0.1,0.0035,0.75,0.27708945574232985,22.192683935165405
19,0.1,0.0035,0.75,0.2744578767949614,22.437066793441772
20,0.1,0.0035,0.75,0.27708945574232985,22.37782120704651
21,0.1,0.0035,1.0,0.3263346593826756,21.925435304641724
22,0.1,0.0035,1.0,0.3134935316426719,21.704232931137085
23,0.1,0.0035,1.0,0.30328893233436244,21.94478678703308
24,0.1,0.0035,1.25,0.36042701676019123,21.718387842178345
25,0.1,0.0035,1.25,0.35525728038210014,22.164396047592163
26,0.1,0.0035,1.25,0.3577536765388256,25.425437927246094
