,epsilon_0,noise,mean tune error,std tune error,runtime
0,0.003,1,0.16736810668413796,0.0016332551929051841,"[46.67654776573181, 45.55191111564636, 46.75257897377014]"
1,0.003,2,0.17959068015232793,0.004668701651549882,"[45.64294695854187, 45.3055100440979, 45.15357708930969]"
2,0.003,3,0.1995970790166933,0.008681681582425525,"[44.140111207962036, 45.200658082962036, 44.63499689102173]"
3,0.005,1,0.1777180234982946,0.0020951312035156966,"[16.339868783950806, 16.42631220817566, 15.3753981590271]"
4,0.005,2,0.26427422057822125,0.006247605577633633,"[16.439955949783325, 16.25234889984131, 16.114126920700073]"
5,0.005,3,0.2830989418639392,0.006351789191530077,"[16.302565097808838, 16.065629959106445, 16.32200813293457]"
6,0.007,1,0.2748939437369477,0.004811441725096911,"[7.844855070114136, 7.895610094070435, 7.77177619934082]"
7,0.007,2,0.31633655460464355,0.007277834423106964,"[7.8552491664886475, 7.89703106880188, 7.908563852310181]"
8,0.007,3,0.32856503282693855,0.004714045207910321,"[7.84940505027771, 7.959498882293701, 7.831804990768433]"
9,0.009,1,0.32133655460464355,0.0003972607607337786,"[4.548435926437378, 4.6299028396606445, 4.580005884170532]"
10,0.009,2,0.33523169949360526,0.009428090415820642,"[4.550307989120483, 4.545777320861816, 4.572736024856567]"
11,0.009,3,0.33523169949360526,0.009428090415820642,"[4.567184209823608, 4.621699094772339, 4.588261842727661]"
