,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.3078671300900053,2493.094540119171
1,0.1,0.0025,0.75,0.3527335199311219,2500.6265721321106
2,0.1,0.0025,0.75,0.32328193951562945,2467.981865167618
3,0.1,0.0025,1.0,0.4232819395156294,2492.1192722320557
4,0.1,0.0025,1.0,0.4246332908669808,2485.194396018982
5,0.1,0.0025,1.0,0.3878138512322126,2478.864291906357
6,0.1,0.0025,1.25,0.43648060897384977,2562.405781030655
7,0.1,0.0025,1.25,0.4915141425662173,2515.3276629447937
8,0.1,0.0025,1.25,0.43783196032520116,2478.566797018051
9,0.1,0.003,0.75,0.40862466204302345,1800.400532245636
10,0.1,0.003,0.75,0.38641424709063127,1872.8282718658447
11,0.1,0.003,0.75,0.3890654754907723,3302.382751941681
12,0.1,0.003,1.0,0.515570706477019,5499.582050085068
13,0.1,0.003,1.0,0.5197684260021159,1842.6509029865265
14,0.1,0.003,1.0,0.535570706477019,1830.471557855606
15,0.1,0.003,1.25,0.585587868813918,4893.556512117386
16,0.1,0.003,1.25,0.5566246620430234,1620.2230911254883
17,0.1,0.003,1.25,0.5815707064770189,1729.247799873352
18,0.1,0.0035,0.75,0.5038878199377603,1381.6501462459564
19,0.1,0.0035,0.75,0.4854667673061813,1281.8331928253174
20,0.1,0.0035,0.75,0.5223088725693392,1274.121661901474
21,0.1,0.0035,1.0,0.5913003532694437,1309.82559299469
22,0.1,0.0035,1.0,0.5880983462535497,1365.947940826416
23,0.1,0.0035,1.0,0.5907299252009182,1357.364347934723
24,0.1,0.0035,1.25,0.6591528338891192,1348.732300043106
25,0.1,0.0035,1.25,0.6631520172242054,1379.0937931537628
26,0.1,0.0035,1.25,0.6513601801612294,1361.8186268806458
