,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.21476205588086755,35.96346306800842
1,0.1,0.0025,0.75,0.16467145762526786,35.6811408996582
2,0.1,0.0025,0.75,0.18642243242382467,36.27426600456238
3,0.1,0.0025,1.0,0.19892243242382468,35.5355281829834
4,0.1,0.0025,1.0,0.1980953892142009,36.1675751209259
5,0.1,0.0025,1.0,0.17810075799971792,35.231131076812744
6,0.1,0.0025,1.25,0.15908035661475323,34.710952043533325
7,0.1,0.0025,1.25,0.15781761143642312,34.539572954177856
8,0.1,0.0025,1.25,0.17948964688860683,34.97819805145264
9,0.1,0.003,0.75,0.2265953892142009,23.78709387779236
10,0.1,0.003,0.75,0.1745953892142009,23.65862512588501
11,0.1,0.003,0.75,0.2145953892142009,23.599339962005615
12,0.1,0.003,1.0,0.23900184267638508,23.361135959625244
13,0.1,0.003,1.0,0.1965953892142009,23.689975023269653
14,0.1,0.003,1.0,0.21231423774620203,24.157217979431152
15,0.1,0.003,1.25,0.24100184267638508,24.246659994125366
16,0.1,0.003,1.25,0.18748290405798285,23.85371708869934
17,0.1,0.003,1.25,0.2325953892142009,26.691702127456665
18,0.1,0.0035,0.75,0.2355953892142009,16.6294047832489
19,0.1,0.0035,0.75,0.22813163989098637,16.83599591255188
20,0.1,0.0035,0.75,0.20353645996842426,17.504040956497192
21,0.1,0.0035,1.0,0.24390938582003646,16.348517179489136
22,0.1,0.0035,1.0,0.21337316699197867,16.12284278869629
23,0.1,0.0035,1.0,0.22331213118035934,16.112442016601562
24,0.1,0.0035,1.25,0.21464757107953536,16.718716144561768
25,0.1,0.0035,1.25,0.22203977451100831,16.45399498939514
26,0.1,0.0035,1.25,0.254106438447784,16.257339000701904
