,epsilon,epsilon_0,noise,error,runtime,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1
0,1.0,0.003,1.0,0.9962383919125426,1.2799718379974365,,,,,,
1,1.0,0.003,1.0,0.9962383919125426,1.2521040439605713,,,,,,
2,1.0,0.003,1.0,0.9962383919125426,1.2529358863830566,,,,,,
3,1.0,0.003,2.0,0.9962383919125426,1.2880771160125732,,,,,,
4,1.0,0.003,2.0,0.9962383919125426,1.262463092803955,,,,,,
5,1.0,0.003,2.0,0.9962383919125426,1.2588369846343994,,,,,,
6,1.0,0.003,3.0,0.9962383919125426,1.2670671939849854,,,,,,
7,1.0,0.003,3.0,0.9962383919125426,1.3132352828979492,,,,,,
8,1.0,0.003,3.0,0.9962383919125426,1.262545108795166,,,,,,
9,1.0,0.005,1.0,0.9962383919125426,1.2536931037902832,,,,,,
10,1.0,0.005,1.0,0.9962383919125426,1.3176250457763672,,,,,,
11,1.0,0.005,1.0,0.9962383919125426,1.254431962966919,,,,,,
12,1.0,0.005,2.0,0.9962383919125426,1.272486925125122,,,,,,
13,1.0,0.005,2.0,0.9962383919125426,1.2889630794525146,,,,,,
14,1.0,0.005,2.0,0.9962383919125426,1.2540581226348877,,,,,,
15,1.0,0.005,3.0,0.9962383919125426,1.2537269592285156,,,,,,
16,1.0,0.005,3.0,0.9962383919125426,1.2609291076660156,,,,,,
17,1.0,0.005,3.0,0.9962383919125426,1.2517070770263672,,,,,,
18,1.0,0.007,1.0,0.9962383919125426,1.2737751007080078,,,,,,
19,1.0,0.007,1.0,0.9962383919125426,1.2839629650115967,,,,,,
20,1.0,0.007,1.0,0.9962383919125426,1.3128859996795654,,,,,,
21,1.0,0.007,2.0,0.9962383919125426,1.2237019538879395,,,,,,
22,1.0,0.007,2.0,0.9962383919125426,1.218101978302002,,,,,,
23,1.0,0.007,2.0,0.9962383919125426,1.3089840412139893,,,,,,
24,1.0,0.007,3.0,0.9962383919125426,1.2178575992584229,,,,,,
25,1.0,0.007,3.0,0.9962383919125426,1.1986498832702637,,,,,,
26,1.0,0.007,3.0,0.9962383919125426,1.250694990158081,,,,,,
27,1.0,0.009,1.0,0.9962383919125426,31.10882568359375,,,,,,
28,1.0,0.009,1.0,0.9962383919125426,23.359123945236206,,,,,,
29,1.0,0.009,1.0,0.9962383919125426,26.8535258769989,,,,,,
30,1.0,0.009,2.0,0.9962383919125426,29.05149269104004,,,,,,
31,1.0,0.009,2.0,0.9962383919125426,37.52433705329895,,,,,,
32,1.0,0.009,2.0,0.9962383919125426,37.5264630317688,,,,,,
33,1.0,0.009,3.0,0.9962383919125426,38.66907024383545,,,,,,
34,1.0,0.009,3.0,0.9962383919125426,38.72656226158142,,,,,,
35,1.0,0.009,3.0,0.9962383919125426,34.24595093727112,,,,,,
36,1.0,0.011,1.0,0.9962383919125426,84.04749703407288,,,,,,
37,1.0,0.011,1.0,0.9962383919125426,83.96227192878723,,,,,,
38,1.0,0.011,1.0,0.9962383919125426,88.64542889595032,,,,,,
39,1.0,0.011,2.0,0.9962383919125426,112.62714505195618,,,,,,
40,1.0,0.011,2.0,0.9962383919125426,103.80767297744751,,,,,,
41,1.0,0.011,2.0,0.9962383919125426,118.39927911758423,,,,,,
42,1.0,0.011,3.0,0.9962383919125426,105.96668195724487,,,,,,
43,1.0,0.011,3.0,0.9962383919125426,117.9029061794281,,,,,,
44,1.0,0.011,3.0,0.9962383919125426,100.10281276702881,,,,,,
0,0.5,0.003,1.0,0.9962383919125426,1.2619340419769287,0.0,,,,,
1,0.5,0.003,1.0,0.9962383919125426,1.2149779796600342,1.0,,,,,
2,0.5,0.003,1.0,0.9962383919125426,1.1982038021087646,2.0,,,,,
3,0.5,0.003,2.0,0.9962383919125426,1.2172489166259766,3.0,,,,,
4,0.5,0.003,2.0,0.9962383919125426,1.196577787399292,4.0,,,,,
5,0.5,0.003,2.0,0.9962383919125426,1.2003819942474363,5.0,,,,,
6,0.5,0.003,3.0,0.9962383919125426,1.2020330429077148,6.0,,,,,
7,0.5,0.003,3.0,0.9962383919125426,1.2267930507659912,7.0,,,,,
8,0.5,0.003,3.0,0.9962383919125426,1.2091670036315918,8.0,,,,,
9,0.5,0.005,1.0,0.9962383919125426,50.47187209129334,9.0,,,,,
10,0.5,0.005,1.0,0.9962383919125426,54.69718384742737,10.0,,,,,
11,0.5,0.005,1.0,0.9962383919125426,54.495790004730225,11.0,,,,,
12,0.5,0.005,2.0,0.9962383919125426,65.20985913276671,12.0,,,,,
13,0.5,0.005,2.0,0.9962383919125426,67.91759514808655,13.0,,,,,
14,0.5,0.005,2.0,0.9962383919125426,67.73652195930481,14.0,,,,,
15,0.5,0.005,3.0,0.9962383919125426,69.06203007698059,15.0,,,,,
16,0.5,0.005,3.0,0.9962383919125426,68.98523473739624,16.0,,,,,
17,0.5,0.005,3.0,0.9962383919125426,69.11657667160034,17.0,,,,,
18,0.5,0.006999999999999999,1.0,0.19144234160103446,239.27450299262998,18.0,,,,,
19,0.5,0.006999999999999999,1.0,0.18499951911260248,237.52869701385498,19.0,,,,,
20,0.5,0.006999999999999999,1.0,0.21227224638532974,231.67944025993347,20.0,,,,,
21,0.5,0.006999999999999999,2.0,0.188134315350847,293.6930010318756,21.0,,,,,
22,0.5,0.006999999999999999,2.0,0.1905802726355172,287.77970504760737,22.0,,,,,
23,0.5,0.006999999999999999,2.0,0.18330786411190786,301.5563750267029,23.0,,,,,
24,0.5,0.006999999999999999,3.0,0.20709983259222628,264.9401261806488,24.0,,,,,
25,0.5,0.006999999999999999,3.0,0.2010653498336056,253.6946587562561,25.0,,,,,
26,0.5,0.006999999999999999,3.0,0.2167306437295047,274.79015016555786,26.0,,,,,
27,0.5,0.009000000000000001,1.0,0.23397202303984954,146.2230730056763,27.0,,,,,
28,0.5,0.009000000000000001,1.0,0.23397202303984954,145.61996722221375,28.0,,,,,
29,0.5,0.009000000000000001,1.0,0.2311148801827067,152.84450197219851,29.0,,,,,
30,0.5,0.009000000000000001,2.0,0.2311148801827067,123.21658396720886,30.0,,,,,
31,0.5,0.009000000000000001,2.0,0.22870039799157002,121.6289119720459,31.0,,,,,
32,0.5,0.009000000000000001,2.0,0.2325434516112781,117.69919896125792,32.0,,,,,
33,0.5,0.009000000000000001,3.0,0.2881060974995382,119.50495481491087,33.0,,,,,
34,0.5,0.009000000000000001,3.0,0.2752489546423953,119.31061625480652,34.0,,,,,
35,0.5,0.009000000000000001,3.0,0.26597961342759746,117.25469088554381,35.0,,,,,
36,0.5,0.011000000000000001,1.0,0.241402732276744,72.84001302719115,36.0,,,,,
37,0.5,0.011000000000000001,1.0,0.22981841041393025,70.3165988922119,37.0,,,,,
38,0.5,0.011000000000000001,1.0,0.2348809931463092,77.96115779876709,38.0,,,,,
39,0.5,0.011000000000000001,2.0,0.2701928335232877,70.75847816467284,39.0,,,,,
40,0.5,0.011000000000000001,2.0,0.25155754084871285,70.58694982528688,40.0,,,,,
41,0.5,0.011000000000000001,2.0,0.2733007599879383,69.80010676383972,41.0,,,,,
42,0.5,0.011000000000000001,3.0,0.3888184155248108,62.428813219070435,42.0,,,,,
43,0.5,0.011000000000000001,3.0,0.3953401546552456,63.209712743759155,43.0,,,,,
44,0.5,0.011000000000000001,3.0,0.3757749372639412,69.68717312812804,44.0,,,,,
45,0.25,0.003,1.0,0.9962383919125426,123.07199001312256,0.0,0.0,,,,
46,0.25,0.003,1.0,0.9962383919125426,121.87047386169434,1.0,1.0,,,,
47,0.25,0.003,1.0,0.9962383919125426,121.83773732185364,2.0,2.0,,,,
48,0.25,0.003,2.0,0.17477224638532973,167.21368098258972,3.0,3.0,,,,
49,0.25,0.003,2.0,0.1925642118255554,166.90855717658997,4.0,4.0,,,,
50,0.25,0.003,2.0,0.1914423416010345,165.13523507118225,5.0,5.0,,,,
51,0.25,0.003,3.0,0.23397202303984954,183.3222527503968,6.0,6.0,,,,
52,0.25,0.003,3.0,0.21227224638532974,185.8390347957611,7.0,7.0,,,,
53,0.25,0.003,3.0,0.21227224638532974,172.31785821914673,8.0,8.0,,,,
54,0.25,0.005,1.0,0.24262896942014145,101.8191270828247,9.0,9.0,,,,
55,0.25,0.005,1.0,0.20691510352818687,93.9514889717102,10.0,10.0,,,,
56,0.25,0.005,1.0,0.20485881375002105,98.37162518501282,11.0,11.0,,,,
57,0.25,0.005,2.0,0.2390575408487129,78.87511873245239,12.0,12.0,,,,
58,0.25,0.005,2.0,0.2497718265629985,79.81136298179626,13.0,13.0,,,,
59,0.25,0.005,2.0,0.2541713546826983,86.26298117637634,14.0,14.0,,,,
60,0.25,0.005,3.0,0.3113339434751213,84.44445490837097,15.0,15.0,,,,
61,0.25,0.005,3.0,0.3149053720465499,78.11550116539001,16.0,16.0,,,,
62,0.25,0.005,3.0,0.32347961342759746,78.14137601852417,17.0,17.0,,,,
63,0.25,0.006999999999999999,1.0,0.2577427832541269,32.391597032547004,18.0,18.0,,,,
64,0.25,0.006999999999999999,1.0,0.25155754084871285,32.06948089599609,19.0,19.0,,,,
65,0.25,0.006999999999999999,1.0,0.2613142118255554,32.25211310386658,20.0,20.0,,,,
66,0.25,0.006999999999999999,2.0,0.4077625149036928,31.694332361221317,21.0,21.0,,,,
67,0.25,0.006999999999999999,2.0,0.395818149759022,33.43073630332947,22.0,22.0,,,,
68,0.25,0.006999999999999999,2.0,0.3970482291894071,36.18079710006714,23.0,23.0,,,,
69,0.25,0.006999999999999999,3.0,0.5092117415909587,36.117627143859856,24.0,24.0,,,,
70,0.25,0.006999999999999999,3.0,0.4993337419604023,34.35207986831665,25.0,25.0,,,,
71,0.25,0.006999999999999999,3.0,0.5350480276746881,31.615283012390137,26.0,26.0,,,,
