epsilon,epsilon_0,noise,error,runtime,Unnamed: 0
1.0,0.003,1.0,0.7207731051144507,0.5902838706970215,
1.0,0.003,1.0,0.7207731051144507,0.5848789215087891,
1.0,0.003,1.0,0.7207731051144507,0.5659079551696777,
1.0,0.003,2.0,0.7207731051144507,0.5688607692718506,
1.0,0.003,2.0,0.7207731051144507,0.5593709945678711,
1.0,0.003,2.0,0.7207731051144507,0.5733098983764648,
1.0,0.003,3.0,0.7207731051144507,0.5797810554504395,
1.0,0.003,3.0,0.7207731051144507,0.5866732597351074,
1.0,0.003,3.0,0.7207731051144507,0.5735292434692383,
1.0,0.003,4.0,0.7207731051144507,0.5738160610198975,
1.0,0.003,4.0,0.7207731051144507,0.6002018451690674,
1.0,0.003,4.0,0.7207731051144507,0.581291913986206,
1.0,0.005,1.0,0.2361464371998338,5.093396902084351,
1.0,0.005,1.0,0.368289294342691,2.7742910385131836,
1.0,0.005,1.0,0.4807731051144507,2.0757110118865967,
1.0,0.005,2.0,0.5335346627902214,2.4698169231414795,
1.0,0.005,2.0,0.7207731051144507,1.0800139904022217,
1.0,0.005,2.0,0.5008289768823735,3.485841989517212,
1.0,0.005,3.0,0.5497178657712624,3.764468193054199,
1.0,0.005,3.0,0.629106438447784,2.4368040561676025,
1.0,0.005,3.0,0.7207731051144507,0.7944369316101074,
1.0,0.005,4.0,0.6357731051144507,3.733642816543579,
1.0,0.005,4.0,0.535058819400165,5.084434986114502,
1.0,0.005,4.0,0.543289294342691,5.083611965179443,
1.0,0.007,1.0,0.1413941020373309,55.26630711555481,
1.0,0.007,1.0,0.15285553722725792,45.07763385772705,
1.0,0.007,1.0,0.12439598060784743,44.499550104141235,
1.0,0.007,2.0,0.1259320752345246,58.193511962890625,
1.0,0.007,2.0,0.12726174793585288,55.669745206832886,
1.0,0.007,2.0,0.10274419759152842,55.07852602005005,
1.0,0.007,3.0,0.1255987767606866,59.58469080924988,
1.0,0.007,3.0,0.11425744737926291,66.32024192810059,
1.0,0.007,3.0,0.14803981735992938,53.662952184677124,
1.0,0.007,4.0,0.14142324229147046,68.03794503211975,
1.0,0.007,4.0,0.12470905376439123,67.85756182670593,
1.0,0.007,4.0,0.13595422362876602,71.02472400665283,
1.0,0.009,1.0,0.1322841639230244,148.48403000831604,
1.0,0.009,1.0,0.12896505585926346,167.2586133480072,
1.0,0.009,1.0,0.12233079614556355,178.1417326927185,
1.0,0.009,2.0,0.1086517584465524,190.22376585006714,
1.0,0.009,2.0,0.10618799226339327,189.72102284431458,
1.0,0.009,2.0,0.10943979431094018,183.57364511489868,
1.0,0.009,3.0,0.0958140197299118,201.41710424423218,
1.0,0.009,3.0,0.10305822407394827,201.594486951828,
1.0,0.009,3.0,0.09660766890598013,207.38098978996277,
1.0,0.009,4.0,0.0937981869042242,222.52086186408997,
1.0,0.009,4.0,0.1063429630236272,221.25572681427002,
1.0,0.009,4.0,0.1129524157599456,222.76560401916504,
1.0,0.011,1.0,0.14378845565119672,237.7612419128418,
1.0,0.011,1.0,0.13420829222487946,223.20079898834229,
1.0,0.011,1.0,0.1370259873502669,234.98400592803955,
1.0,0.011,2.0,0.10807485933244658,219.2402858734131,
1.0,0.011,2.0,0.10721569942511566,208.761381149292,
1.0,0.011,2.0,0.10416416941066282,211.05691719055176,
1.0,0.011,3.0,0.11909795357521621,192.07591128349304,
1.0,0.011,3.0,0.10976547640767904,196.29157304763794,
1.0,0.011,3.0,0.10782717307366649,190.21217894554138,
1.0,0.011,4.0,0.10638424225721411,180.0334460735321,
1.0,0.011,4.0,0.10413008615690417,181.00672602653503,
1.0,0.011,4.0,0.10782717307366649,176.20587277412415,
1.0,0.015,1.0,0.14117202446333696,83.43962383270264,
1.0,0.015,1.0,0.14221859693848088,77.77058577537537,
1.0,0.015,1.0,0.1385555932754772,74.7715151309967,
1.0,0.015,2.0,0.13122958594946987,68.04103922843933,
1.0,0.015,2.0,0.1126112904646602,66.6851978302002,
1.0,0.015,2.0,0.10815536490745764,68.37273907661438,
1.0,0.015,3.0,0.12382050337089034,61.854122161865234,
1.0,0.015,3.0,0.11129508233288936,61.73884892463684,
1.0,0.015,3.0,0.10523937425842694,60.40627884864807,
1.0,0.015,4.0,0.1214488516898036,57.643543004989624,
1.0,0.015,4.0,0.13349683108731233,56.227269887924194,
1.0,0.015,4.0,0.13993119903431286,57.00442981719971,
1.0,0.017,1.0,0.14465600915032917,51.91409111022949,
1.0,0.017,1.0,0.1696984481785742,50.36474895477295,
1.0,0.017,1.0,0.14060742615437777,48.35193204879761,
1.0,0.017,2.0,0.13052970770659816,43.71573805809021,
1.0,0.017,2.0,0.11842239270962178,43.836057901382446,
1.0,0.017,2.0,0.12314573953823177,42.57631707191467,
1.0,0.017,3.0,0.12423261190715429,40.802234172821045,
1.0,0.017,3.0,0.1330045417317157,40.05427813529968,
1.0,0.017,3.0,0.1278630905537429,39.792083978652954,
1.0,0.017,4.0,0.16377546901211823,36.6841037273407,
1.0,0.017,4.0,0.14547870654672612,37.05615282058716,
1.0,0.017,4.0,0.15257269287881423,36.67552900314331,
1.0,0.19,1.0,0.7207731051144507,0.2917051315307617,
1.0,0.19,1.0,0.7207731051144507,0.27942919731140137,
1.0,0.19,1.0,0.7207731051144507,0.2779219150543213,
1.0,0.19,2.0,0.7207731051144507,0.27695512771606445,
1.0,0.19,2.0,0.7207731051144507,0.2762470245361328,
1.0,0.19,2.0,0.7207731051144507,0.2729659080505371,
1.0,0.19,3.0,0.7207731051144507,0.27304816246032715,
1.0,0.19,3.0,0.7207731051144507,0.27765798568725586,
1.0,0.19,3.0,0.7207731051144507,0.2844233512878418,
1.0,0.19,4.0,0.7207731051144507,0.33118200302124023,
1.0,0.19,4.0,0.7207731051144507,0.33581089973449707,
1.0,0.19,4.0,0.7207731051144507,0.32320284843444824,
0.5,0.003,1.0,0.720773105114451,302.64939618110697,0.0
0.5,0.003,1.0,0.720773105114451,301.766097068787,1.0
