,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.28221464676149055,101.27094101905823
1,0.1,0.0025,0.75,0.2554314570830381,102.00824213027954
2,0.1,0.0025,0.75,0.26353956519114624,101.33343386650085
3,0.1,0.0025,1.0,0.28094002077780145,99.65260124206543
4,0.1,0.0025,1.0,0.28401205366645593,98.16709017753601
5,0.1,0.0025,1.0,0.28941745907186134,98.90387392044067
6,0.1,0.0025,1.25,0.28671475636915866,96.31040716171265
7,0.1,0.0025,1.25,0.2863373247468698,95.56909894943237
8,0.1,0.0025,1.25,0.30737167165990487,96.0221300125122
9,0.1,0.003,0.75,0.29170471376513457,71.17229199409485
10,0.1,0.003,0.75,0.28892629599153635,62.465216875076294
11,0.1,0.003,0.75,0.29707840601857294,63.02843117713928
12,0.1,0.003,1.0,0.33970471376513456,61.328880310058594
13,0.1,0.003,1.0,0.3350654754907723,61.450528144836426
14,0.1,0.003,1.0,0.33770471376513456,61.723896741867065
15,0.1,0.003,1.25,0.39287786528741037,60.824713945388794
16,0.1,0.003,1.25,0.38293593511226054,60.949472427368164
17,0.1,0.003,1.25,0.36687786528741034,61.16320300102234
18,0.1,0.0035,0.75,0.3107007851119512,45.95921611785889
19,0.1,0.0035,0.75,0.3291218377435301,46.00810432434082
20,0.1,0.0035,0.75,0.35517839797566086,46.93602895736694
21,0.1,0.0035,1.0,0.37744210650052895,51.77161502838135
22,0.1,0.0035,1.0,0.39060000123737104,51.64522695541382
23,0.1,0.0035,1.0,0.3716147073926735,45.71175503730774
24,0.1,0.0035,1.25,0.4353368433426342,45.549049854278564
25,0.1,0.0035,1.25,0.45788885932946854,45.673707008361816
26,0.1,0.0035,1.25,0.42950944423477877,45.54795503616333
