,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.45150686715868327,540.5295691490173
1,0.1,0.0025,0.75,0.447845176786049,564.5311989784241
2,0.1,0.0025,0.75,0.44002713186914433,565.7520589828491
3,0.1,0.0025,1.0,0.524872203813076,565.5549099445343
4,0.1,0.0025,1.0,0.5061950571707242,563.0333449840546
5,0.1,0.0025,1.0,0.527182542834359,563.0271611213684
6,0.1,0.0025,1.25,0.5528582185100346,565.3510608673096
7,0.1,0.0025,1.25,0.591483484189491,565.2036597728729
8,0.1,0.0025,1.25,0.5809790982942504,567.1394281387329
9,0.1,0.003,0.75,0.6088181497590219,384.8917119503021
10,0.1,0.003,0.75,0.561978840954508,385.90456199645996
11,0.1,0.003,0.75,0.6008181497590219,384.92426228523254
12,0.1,0.003,1.0,0.6722146467614906,393.4877288341522
13,0.1,0.003,1.0,0.6602146467614906,382.5079200267792
14,0.1,0.003,1.0,0.6687088280239802,382.9470179080963
15,0.1,0.003,1.25,0.7527088280239802,382.7425317764282
16,0.1,0.003,1.25,0.7580315034677325,382.5937352180481
17,0.1,0.003,1.25,0.776818149759022,382.02252173423767
18,0.1,0.0035,0.75,0.6997655181800746,291.8200190067291
19,0.1,0.0035,0.75,0.6913056120965396,293.25173783302307
20,0.1,0.0035,0.75,0.7139535243421826,292.72741985321045
21,0.1,0.0035,1.0,0.7967466420842279,291.84004974365234
22,0.1,0.0035,1.0,0.76642517307728,293.77721190452576
23,0.1,0.0035,1.0,0.7453725414983327,294.53341007232666
24,0.1,0.0035,1.25,0.8260813076537589,303.3875980377197
25,0.1,0.0035,1.25,0.820818149759022,296.6968152523041
26,0.1,0.0035,1.25,0.8234497287063904,290.91354990005493
