,epsilon,epsilon_0,noise,error,runtime
0,0.1,0.0025,0.75,0.42718254283435897,2016.2924299240112
1,0.1,0.0025,0.75,0.5018992308401031,2059.6549050807953
2,0.1,0.0025,0.75,0.4549969977030045,6114.140572071075
3,0.1,0.0025,1.0,0.5278166787923458,2712.5580899715424
4,0.1,0.0025,1.0,0.5062416007167387,1889.8023459911346
5,0.1,0.0025,1.0,0.5336818009969533,2205.9463789463043
6,0.1,0.0025,1.25,0.6251139760896431,2082.43639588356
7,0.1,0.0025,1.25,0.6430254575723013,1821.8627042770386
8,0.1,0.0025,1.25,0.5916741062209501,1741.4801287651062
9,0.1,0.003,0.75,0.6139788409545079,1185.931823015213
10,0.1,0.003,0.75,0.5968181497590219,1265.4480860233307
11,0.1,0.003,0.75,0.6320416127894676,1285.4049549102783
12,0.1,0.003,1.0,0.7160416127894675,1283.6843090057373
13,0.1,0.003,1.0,0.7007088280239803,1275.1576881408691
14,0.1,0.003,1.0,0.6907088280239803,1276.4351952075958
15,0.1,0.003,1.25,0.7766126719172446,1289.6495959758759
16,0.1,0.003,1.25,0.7446126719172446,1228.9186289310455
17,0.1,0.003,1.25,0.7662146467614905,1283.7911717891693
18,0.1,0.0035,0.75,0.7504021456014551,998.3789868354797
19,0.1,0.0035,0.75,0.7293495140225077,976.4103090763092
20,0.1,0.0035,0.75,0.7214547771804025,956.486022233963
21,0.1,0.0035,1.0,0.8392392023906009,994.3312358856201
22,0.1,0.0035,1.0,0.802397097127443,978.4300520420074
23,0.1,0.0035,1.0,0.8398758298119814,983.0255908966064
24,0.1,0.0035,1.25,0.8708181497590219,986.478374004364
25,0.1,0.0035,1.25,0.8333047706842044,986.8132491111755
26,0.1,0.0035,1.25,0.8181865708116536,986.4383199214935
