epsilon,epsilon_0,noise,error,runtime,Unnamed: 0
1.0,0.003,1.0,0.3418983661602719,1.4720346927642822,
1.0,0.003,1.0,0.3418983661602719,1.4148950576782227,
1.0,0.003,1.0,0.3418983661602719,1.6072659492492676,
1.0,0.003,2.0,0.3418983661602719,1.3438360691070557,
1.0,0.003,2.0,0.3418983661602719,1.3034520149230957,
1.0,0.003,2.0,0.3418983661602719,1.3061120510101318,
1.0,0.003,3.0,0.3418983661602719,1.4039549827575684,
1.0,0.003,3.0,0.3418983661602719,1.2793478965759277,
1.0,0.003,3.0,0.3418983661602719,1.2251629829406738,
1.0,0.003,4.0,0.3418983661602719,1.418067216873169,
1.0,0.003,4.0,0.3418983661602719,1.328733205795288,
1.0,0.003,4.0,0.3418983661602719,1.2806899547576904,
1.0,0.005,1.0,0.3418983661602719,1.2095837593078613,
1.0,0.005,1.0,0.3418983661602719,1.3589370250701904,
1.0,0.005,1.0,0.3418983661602719,1.3706650733947754,
1.0,0.005,2.0,0.3418983661602719,1.3511860370635986,
1.0,0.005,2.0,0.3418983661602719,1.2356910705566406,
1.0,0.005,2.0,0.3418983661602719,1.2157588005065918,
1.0,0.005,3.0,0.3418983661602719,1.2550950050354004,
1.0,0.005,3.0,0.3418983661602719,1.267549991607666,
1.0,0.005,3.0,0.3418983661602719,1.2650868892669678,
1.0,0.005,4.0,0.3418983661602719,1.2562789916992188,
1.0,0.005,4.0,0.3418983661602719,1.2373359203338623,
1.0,0.005,4.0,0.3418983661602719,1.2294399738311768,
1.0,0.007,1.0,0.2668983661602719,2.0097548961639404,
1.0,0.007,1.0,0.3168983661602719,2.1669697761535645,
1.0,0.007,1.0,0.3418983661602719,2.0818588733673096,
1.0,0.007,2.0,0.3418983661602719,2.1210501194000244,
1.0,0.007,2.0,0.3418983661602719,1.4070682525634766,
1.0,0.007,2.0,0.3418983661602719,1.420809030532837,
1.0,0.007,3.0,0.3418983661602719,1.3844377994537354,
1.0,0.007,3.0,0.3418983661602719,2.086308240890503,
1.0,0.007,3.0,0.32523169949360525,2.824907064437866,
1.0,0.007,4.0,0.3418983661602719,2.0139882564544678,
1.0,0.007,4.0,0.3118983661602719,4.012879133224487,
1.0,0.007,4.0,0.3418983661602719,2.65460205078125,
1.0,0.009,1.0,0.11099094502358843,84.88212203979492,
1.0,0.009,1.0,0.13234995511929298,70.1009111404419,
1.0,0.009,1.0,0.11011015109946358,95.37128400802612,
1.0,0.009,2.0,0.10998730600712502,98.1702229976654,
1.0,0.009,2.0,0.10998730600712502,99.15456700325012,
1.0,0.009,2.0,0.10998730600712502,118.53327584266663,
1.0,0.009,3.0,0.10971332570263818,139.82961583137512,
1.0,0.009,3.0,0.1088245153094506,142.84620809555054,
1.0,0.009,3.0,0.10998730600712502,143.28396892547607,
1.0,0.009,4.0,0.10752251727473065,157.53489804267883,
1.0,0.009,4.0,0.11018672454035461,154.9659242630005,
1.0,0.009,4.0,0.10975847097654928,157.4398488998413,
1.0,0.011,1.0,0.10940591065828781,284.9297559261322,
1.0,0.011,1.0,0.11011015109946358,297.2095103263855,
1.0,0.011,1.0,0.10982838158692483,283.30821990966797,
1.0,0.011,2.0,0.10970553649458627,266.9770829677582,
1.0,0.011,2.0,0.09984360355573026,261.5328459739685,
1.0,0.011,2.0,0.09956183404319151,263.2562828063965,
1.0,0.011,3.0,0.09826920876049464,243.91331100463867,
1.0,0.011,3.0,0.100125373068269,246.9733371734619,
1.0,0.011,3.0,0.10942376698204753,249.83503103256226,
1.0,0.011,4.0,0.10886022795697005,237.1685917377472,
1.0,0.011,4.0,0.1020977596560402,227.9819302558899,
1.0,0.011,4.0,0.1070106864615374,252.00869798660278,
1.0,0.015,1.0,0.10998730600712502,111.17892694473267,
1.0,0.015,1.0,0.13052717472508402,104.43387198448181,
1.0,0.015,1.0,0.1132587288852096,106.87052798271179,
1.0,0.015,2.0,0.11129986071342164,100.66072702407837,
1.0,0.015,2.0,0.11245255394904116,98.57847499847412,
1.0,0.015,2.0,0.10946401976955307,100.71311616897583,
1.0,0.015,3.0,0.11064229769734985,95.26108908653259,
1.0,0.015,3.0,0.11011015109946358,96.62420201301575,
1.0,0.015,3.0,0.11339300566370944,99.07484483718872,
1.0,0.015,4.0,0.12134841998776434,89.61064982414246,
1.0,0.015,4.0,0.11587516007306936,89.54925799369812,
1.0,0.015,4.0,0.12895731601236815,89.6532211303711,
1.0,0.017,1.0,0.11829880159445524,76.23640704154968,
1.0,0.017,1.0,0.13179407824762662,77.79968476295471,
1.0,0.017,1.0,0.11011015109946358,74.87330508232117,
1.0,0.017,2.0,0.10998730600712502,70.82629108428955,
1.0,0.017,2.0,0.10998730600712502,68.66749286651611,
1.0,0.017,2.0,0.13314360591294377,69.34925413131714,
1.0,0.017,3.0,0.11117616245967815,67.33802485466003,
1.0,0.017,3.0,0.13179407824762662,65.15150713920593,
1.0,0.017,3.0,0.13314360591294377,68.57144498825073,
1.0,0.017,4.0,0.1399214443488246,64.06678700447083,
1.0,0.017,4.0,0.12507664003033606,63.482258796691895,
1.0,0.017,4.0,0.1293905032178175,69.39031195640564,
1.0,0.19,1.0,0.3418983661602719,0.5900583267211914,
1.0,0.19,1.0,0.3418983661602719,0.5836353302001953,
1.0,0.19,1.0,0.3418983661602719,0.5729951858520508,
1.0,0.19,2.0,0.3418983661602719,0.7623081207275391,
1.0,0.19,2.0,0.3418983661602719,0.6001110076904297,
1.0,0.19,2.0,0.3418983661602719,0.5933859348297119,
1.0,0.19,3.0,0.3418983661602719,0.6190259456634521,
1.0,0.19,3.0,0.3418983661602719,0.6772677898406982,
1.0,0.19,3.0,0.3418983661602719,0.6389510631561279,
1.0,0.19,4.0,0.3418983661602719,0.6883420944213867,
1.0,0.19,4.0,0.3418983661602719,0.6339325904846191,
1.0,0.19,4.0,0.3418983661602719,0.6065781116485596,
0.5,0.003,1.0,0.341898366160272,1.1758751869201698,0.0
0.5,0.003,1.0,0.341898366160272,1.14813280105591,1.0
0.5,0.003,1.0,0.341898366160272,1.15770697593689,2.0
0.5,0.003,2.0,0.341898366160272,1.15715885162354,3.0
0.5,0.003,2.0,0.341898366160272,1.14862275123596,4.0
0.5,0.003,2.0,0.331898366160272,1.1400420665741,5.0
0.5,0.003,3.0,0.341898366160272,1.15415072441101,6.0
0.5,0.003,3.0,0.341898366160272,1.13951301574707,7.0
0.5,0.003,3.0,0.341898366160272,1.14834499359131,8.0
0.5,0.005,1.0,0.10935439461472,301.198241710663,9.0
0.5,0.005,1.0,0.109514913004225,302.03742790222196,10.0
0.5,0.005,1.0,0.109987306007125,301.791570901871,11.0
0.5,0.005,2.0,0.109419124188943,303.356373071671,12.0
0.5,0.005,2.0,0.0936481887548592,301.743503808975,13.0
0.5,0.005,2.0,0.0990220831531439,301.286300182343,14.0
0.5,0.005,3.0,0.109987306007125,302.306119918823,15.0
0.5,0.005,3.0,0.108956378172073,303.19327592849703,16.0
0.5,0.005,3.0,0.0982613973284638,301.456861019134,17.0
0.5,0.007,1.0,0.110110151099464,131.54138016700702,18.0
0.5,0.007,1.0,0.110110151099464,128.74351787567102,19.0
0.5,0.007,1.0,0.110110151099464,129.92056322097798,20.0
0.5,0.007,2.0,0.109987306007125,117.55029201507601,21.0
0.5,0.007,2.0,0.104846993204727,119.694265127182,22.0
0.5,0.007,2.0,0.109987306007125,119.86946797370899,23.0
0.5,0.007,3.0,0.109987306007125,109.459010124207,24.0
0.5,0.007,3.0,0.109987306007125,114.244141101837,25.0
0.5,0.007,3.0,0.0994609902176513,110.92984700202899,26.0
0.5,0.009,1.0,0.133143605912944,62.5635859966278,27.0
0.5,0.009,1.0,0.110110151099464,63.5415549278259,28.0
0.5,0.009,1.0,0.110110151099464,62.6075150966644,29.0
0.5,0.009,2.0,0.109987306007125,58.387222051620505,30.0
0.5,0.009,2.0,0.110110151099464,58.125759840011604,31.0
0.5,0.009,2.0,0.108516717771831,58.728716135024996,32.0
0.5,0.009,3.0,0.111184443475601,56.3667531013489,33.0
0.5,0.009,3.0,0.131772678769718,57.027951955795295,34.0
0.5,0.009,3.0,0.119908311795297,56.5341796875,35.0
0.25,0.003,1.0,0.134490522008709,220.59412598609902,36.0
0.25,0.003,1.0,0.131877783128134,218.173830032349,37.0
0.25,0.003,1.0,0.140186724540355,214.99027323722802,38.0
0.25,0.003,2.0,0.139330385396673,209.142246961594,39.0
0.25,0.003,2.0,0.137431651219458,202.87848830223098,40.0
0.25,0.003,2.0,0.122874689194141,193.995407104492,41.0
0.25,0.003,3.0,0.138920901755544,194.70114111900298,42.0
0.25,0.003,3.0,0.135666673059449,215.437956809998,43.0
0.25,0.003,3.0,0.13955381314795,202.845671892166,44.0
0.25,0.005,1.0,0.110110151099464,49.71077823638921,45.0
0.25,0.005,1.0,0.109987306007125,48.465529203414896,46.0
0.25,0.005,1.0,0.129572177341515,49.0131940841675,47.0
0.25,0.005,2.0,0.127686724540355,46.6165637969971,48.0
0.25,0.005,2.0,0.110110151099464,45.620564937591496,49.0
0.25,0.005,2.0,0.123370108864151,45.3564558029175,50.0
0.25,0.005,3.0,0.109987306007125,43.2586450576782,51.0
0.25,0.005,3.0,0.11363171041316901,44.5139012336731,52.0
0.25,0.005,3.0,0.124215034484372,45.9484848976135,53.0
0.25,0.007,1.0,0.136615295968926,23.416272163391103,54.0
0.25,0.007,1.0,0.140186724540355,22.5760049819946,55.0
0.25,0.007,1.0,0.140596208181483,23.128107070922898,56.0
0.25,0.007,2.0,0.137024779610055,22.2874810695648,57.0
0.25,0.007,2.0,0.137024779610055,20.8136441707611,58.0
0.25,0.007,2.0,0.133143605912944,21.1750972270966,59.0
0.25,0.007,3.0,0.159084394578437,20.496100187301604,60.0
0.25,0.007,3.0,0.140186724540355,20.6111853122711,61.0
0.25,0.007,3.0,0.155512966007008,20.3388769626617,62.0
0.25,0.009,1.0,0.156688915277835,12.0535881519318,63.0
0.25,0.009,1.0,0.137938915277835,12.0423657894135,64.0
0.25,0.009,1.0,0.140596208181483,12.098718881607098,65.0
0.25,0.009,2.0,0.152834394578437,11.8871331214905,66.0
0.25,0.009,2.0,0.159084394578437,11.791743040084802,67.0
0.25,0.009,2.0,0.159084394578437,11.777065038681,68.0
0.25,0.009,3.0,0.168921727201998,11.600033998489401,69.0
0.25,0.009,3.0,0.159084394578437,11.602226972579999,70.0
0.25,0.009,3.0,0.168921727201998,11.6378772258759,71.0
0.2,0.003,1.0,0.133143605912944,116.02236890792801,72.0
0.2,0.003,1.0,0.140186724540355,112.927608013153,73.0
0.2,0.003,1.0,0.139186724540355,113.79345798492399,74.0
0.2,0.003,2.0,0.141084394578437,104.790325880051,75.0
0.2,0.003,2.0,0.140186724540355,103.80499386787399,76.0
0.2,0.003,2.0,0.140596208181483,102.35027384758,77.0
0.2,0.003,3.0,0.140186724540355,92.43562078475951,78.0
0.2,0.003,3.0,0.138186724540355,98.3108389377594,79.0
0.2,0.003,3.0,0.153084394578437,94.0734207630158,80.0
0.2,0.005,1.0,0.109987306007125,27.548574924468998,81.0
0.2,0.005,1.0,0.110110151099464,27.248347043991103,82.0
0.2,0.005,1.0,0.109987306007125,29.9214339256287,83.0
0.2,0.005,2.0,0.12647505107171,27.9016411304474,84.0
0.2,0.005,2.0,0.13226287484815,28.171427011489897,85.0
0.2,0.005,2.0,0.140596208181483,26.092901945114104,86.0
0.2,0.005,3.0,0.14241772791177,25.126330137252804,87.0
0.2,0.005,3.0,0.14241772791177,25.7239422798157,88.0
0.2,0.005,3.0,0.14241772791177,25.6940319538117,89.0
0.2,0.007,1.0,0.151133359722279,12.6328413486481,90.0
