epsilon,max_error,time,eps_0,noise_scale,samples,tune_error,queries,workload,marginal
0.1,0.41958384762528733,265.3922460079193,0.005,3,100,0.028486177977189813,131230,24,3
0.1,0.5314886095300492,278.5365149974823,0.006999999999999999,3,100,0.02170640932894731,131230,24,3
