,epsilon,epsilon_0,noise,mean tune error,std tune error,runtime
0,0.1,0.0025,0.5,0.27125792537571075,0.004795564930438675,"[132.79257988929749, 141.68137502670288, 130.5797929763794]"
1,0.1,0.0025,1.0,0.22827108994500553,0.0030264287151907147,"[116.48331904411316, 103.24403524398804, 113.20987796783447]"
2,0.1,0.0025,1.5,0.27642704418300984,0.016520208718568366,"[96.19238615036011, 101.3558759689331, 109.83612704277039]"
3,0.1,0.003,0.5,0.2654553034755691,0.013868262974981768,"[73.68171119689941, 72.27679300308228, 73.81077575683594]"
4,0.1,0.003,1.0,0.2699320559539203,0.01354401696623402,"[62.43595099449158, 56.53731894493103, 61.34024977684021]"
5,0.1,0.003,1.5,0.33820765643979467,0.008990921153751394,"[59.59658432006836, 60.99194097518921, 55.71608805656433]"
6,0.1,0.0035,0.5,0.2683931705365447,0.011070092517219146,"[51.926111936569214, 48.740147829055786, 46.89941120147705]"
7,0.1,0.0035,1.0,0.305294504628799,0.005328453170189389,"[44.12029314041138, 42.732667207717896, 41.60518407821655]"
8,0.1,0.0035,1.5,0.3889828191025348,0.0033873899065090607,"[43.817111015319824, 42.9412260055542, 42.50984716415405]"
