epsilon_0,noise,mean tune error,std tune error
0.002,0.5,0.0900290892099791,0.028449356478001543
0.002,0.7,0.10289796334264352,0.04026425477842581
0.002,0.8,0.0752087207953252,0.027137503454033592
0.002,0.9,0.07143422756307397,0.031000639881505643
0.002,1.0,0.07691687386856338,0.006901768215922673
0.002,1.5,0.11658194481874638,0.016319394160202123
0.002,2.0,0.13952264682607327,0.005648724734932991
0.002,3.0,0.15554430692354304,0.013688243406529672
0.003,0.5,0.07442090033240013,0.01021172193110804
0.003,0.7,0.06141916254129861,0.01504878328110364
0.003,0.8,0.042063503010423144,0.005651053079022127
0.003,0.9,0.07263477579333866,0.020292438209166975
0.003,1.0,0.06063594246251967,0.013771145509251632
0.003,1.5,0.0683178699379381,0.015778224488529054
0.003,2.0,0.11996067520260462,0.009991894146387115
0.003,3.0,0.18921277129189215,0.01244943284057525
0.004,0.5,0.08180453236347754,0.012346810607295904
0.004,0.7,0.06960276364231978,0.010137221594130245
0.004,0.8,0.07484300024941275,0.010635803289219908
0.004,0.9,0.042190799523013606,0.014049442046059424
0.004,1.0,0.0975703350196614,0.007745379499316874
0.004,1.5,0.13542584437388092,0.009874122517516315
0.004,2.0,0.22959045431589553,0.010362346312684036
0.004,3.0,0.3572317168656385,0.008640618653974974
0.005,0.5,0.10259318190238298,0.02176710606845422
0.005,0.7,0.07058230523690578,0.024893023047096303
0.005,0.8,0.14559518447238032,0.008716847517861762
0.005,0.9,0.1386654343158991,0.011653768161383115
0.005,1.0,0.16376923841892518,0.009512916620415169
0.005,1.5,0.2733575513658229,0.019142557567129556
0.005,2.0,0.3860865648417346,0.005253251481550874
0.005,3.0,0.4588534458048401,0.0056623304929606
0.006,0.5,0.15708944487667717,0.021306925051711785
0.006,0.7,0.23278519853131865,0.008505253057918515
0.006,0.8,0.24695366010127895,0.004265828216321827
0.006,0.9,0.2912079767413292,0.010536414018809928
0.006,1.0,0.31389080436236577,0.01564773224087573
0.006,1.5,0.42381573236149217,0.01569222394070075
0.006,2.0,0.4640686021593437,0.008662674203765288
0.006,3.0,0.49143534935779315,0.006095416107200638
0.007,0.5,0.21166523347392271,0.0191784675461201
0.007,0.7,0.3641181769788296,0.011469186078048072
0.007,0.8,0.3919833567648972,0.023404308579560884
0.007,0.9,0.43284877769133123,0.016595189712385192
0.007,1.0,0.4426576853254713,0.02390254535990325
0.007,1.5,0.48125574983279423,0.002607278245734155
0.007,2.0,0.4899304332791905,0.0026962718382518183
0.007,3.0,0.4976344585033828,0.0032929171665383185
0.008,0.5,0.45773814886095304,0.0208871488775716
0.008,0.7,0.471348657121148,0.016142218956326195
0.008,0.8,0.49541487517573674,0.009335403352547308
0.008,0.9,0.4805992565597004,0.010892750921313352
0.008,1.0,0.4831900140589383,0.0057295381377133695
0.008,1.5,0.4997201861785621,0.0024488316227849033
0.008,2.0,0.49479801081946767,0.005165627386446215
0.008,3.0,0.4976412832307349,0.005133730449588416
0.009,0.5,0.5001228450923386,0.0003454417846619524
0.009,0.7,0.5006142254616929,0.0009572638079981299
0.009,0.8,0.49963828945033645,0.0019811232532387407
0.009,0.9,0.49915912534294254,0.0032905144481413955
0.009,1.0,0.49853950834664157,0.000819024153010392
0.009,1.5,0.5000258657166646,0.002088755812806497
0.009,2.0,0.4989694661698265,0.0029481084332239563
0.009,3.0,0.49806177743199154,0.002735549599778962
