,epsilon,epsilon_0,noise,mean tune error,std tune error,runtime
0,0.1,0.0025,0.5,0.18880966072455432,0.0054406081177494495,"[133.35968685150146, 133.21117520332336, 131.9777238368988]"
1,0.1,0.0025,1.0,0.19382475693043463,0.0002548132544816361,"[129.32206082344055, 100.6299479007721, 118.64890694618225]"
2,0.1,0.0025,1.5,0.19216797613412165,0.021243182447737353,"[109.30041885375977, 96.16065406799316, 96.8110089302063]"
3,0.1,0.003,0.5,0.19402992045766232,0.0006840236525165732,"[63.87619495391846, 59.5221529006958, 63.939714670181274]"
4,0.1,0.003,1.0,0.17862582187218368,0.013395080673733378,"[48.80365610122681, 61.92443490028381, 51.41809391975403]"
5,0.1,0.003,1.5,0.21782221699776652,0.02670228982588151,"[51.90050005912781, 50.53206491470337, 51.93986201286316]"
6,0.1,0.0035,0.5,0.19225055114570247,0.0004962152850432006,"[38.973427057266235, 39.70186686515808, 42.015881061553955]"
7,0.1,0.0035,1.0,0.1674771859706867,0.015282885428720337,"[33.544572830200195, 33.965153217315674, 31.211802005767822]"
8,0.1,0.0035,1.5,0.2492923681013984,0.0027628097803550173,"[28.906846046447754, 29.26392412185669, 29.71923828125]"
