epsilon_0,noise,mean tune error,std tune error
0.003,1,0.0472220115715468,0.009741806991948852
0.003,2,0.034014728293422856,0.0017411449515986539
0.003,3,0.03743664481513054,0.020037309047798085
0.005,1,0.03184818166514249,0.00265228857686644
0.005,2,0.030871022258216335,0.010507978622034026
0.005,3,0.07262732792713823,0.011497148394546257
0.007,1,0.031003897894279125,0.002949405684564103
0.007,2,0.12720273925056694,0.012210322241229143
0.007,3,0.2716318800563917,0.0096857940269494
0.009,1,0.1264477597453315,0.014999380672367368
0.009,2,0.32123946148351373,0.0125653226836651
0.009,3,0.4272399437642466,0.013459615014640654
